Dự án/ khu,Số,Ngõ,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet
Golden Palace,99,,Mễ Trì,Mễ Trì,Nam Từ Liêm,118,3.19,Tây,Đông,3,2
Thăng Long Number One,,,,Trung Hòa,Cầu Giấy,111,3.93,,,,
The Nine,,,Phạm Văn Đồng,Mai Dịch,Cầu Giấy,99.6,5.7,Đông,Tây,3,2
KĐT Tây Hồ Tây - Starlake Hà Nội,,,,Xuân La,Tây Hồ,113,10.8,Đông - Nam,Nam,,
Hoàng Thành Pearl,,,Nguyễn Văn Giáp,Cầu Diễn,Nam Từ Liêm,108,5.1,Đông - Bắc,Tây - Nam,3,
D’. Le Pont D’or - Hoàng Cầu,36,,Hoàng Cầu,Ô Chợ Dừa,Đống Đa,121,6.2,Tây - Bắc,Đông - Nam,3,2
Sun Grand City,69,,Thụy Khuê,Thụy Khuê,Tây Hồ,532,59,,Đông - Nam,,
Keangnam,,,Phạm Hùng,Mễ Trì,Nam Từ Liêm,107.8,6.14,,,,
Mandarin Garden,,,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,144.7,8.97,,,,
KĐT Linh Đàm,,,,Đại Kim,Hoàng Mai,75,2.5,,,,
Green Stars,234,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,66.8,2.68,Đông - Nam,Tây - Bắc,2,2
Rose Town,,,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,71,2.7,Đông - Nam,Đông - Nam,2,2
Sky City Towers-88 Láng Hạ,88,,Láng Hạ,Láng Hạ,Đống Đa,102,5.1,Đông - Nam,,2,2
The K Park,,,Lê Trọng Tấn,Phúc La,Hà Đông,68,2.4,Đông - Bắc,Tây - Nam,2,2
D’. Le Pont D’or - Hoàng Cầu,36,,Hoàng Cầu,Ô Chợ Dừa,Đống Đa,115,6.2,,,3,2
KĐT Văn Phú,,,Lê Trọng Tấn,Phú La,Hà Đông,69,1.88,Đông - Nam,Tây - Bắc,2,2
Green Diamond 93 Láng Hạ,,,Láng Hạ,Láng Hạ,Đống Đa,92,7.32,,,2,2
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,60,2.3,,,2,2
Tecco Garden,,,Tứ Hiệp,Tứ Hiệp,Thanh Trì,141,3.1,,,4,3
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,62,3.1,Tây,Đông,2,2
D22 Bộ Tư Lệnh Biên Phòng,,,Trần Bình,Mai Dịch,Cầu Giấy,79,2.65,,Đông - Nam,2,1
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,55,2.15,Tây - Nam,Đông - Bắc,2,2
KĐT Linh Đàm,,,,Đại Kim,Hoàng Mai,68,2.3,,,2,2
Rice City Linh Đàm,,,,Hoàng Liệt,Hoàng Mai,67,2.32,,,2,2
Golden Park Tower,,,Phạm Văn Bạch,Yên Hòa,Cầu Giấy,95.1,5.4,Tây - Nam,Đông - Bắc,3,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,76.9,3.4,,,2,
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,65,1.255,,,2,2
Xuân Mai Complex,,,Tố Hữu,Yên Nghĩa,Hà Đông,62,1.64,Đông - Bắc,Tây - Nam,2,2
Discovery Complex,302,,Cầu Giấy,Dịch Vọng,Cầu Giấy,195,10.8,,,,
Eco Green City,286,,Nguyễn Xiển,Tân Triều,Thanh Trì,75,2.79,Đông - Bắc,Tây - Nam,2,2
Thống Nhất Complex,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,95,3.9,,,3,
A10-A14 Nam Trung Yên,,,Nguyễn Chánh,Yên Hòa,Cầu Giấy,60.5,1.51,Tây - Bắc,Đông - Nam,,
Grand Sunlake,,,Trần Phú,Văn Quán,Hà Đông,120,3.96,,,3,
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,69.9,3.35,Nam,Bắc,2,2
Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,32,1.16,,,1,1
The Park Home,,,Thành Thái,Dịch Vọng,Cầu Giấy,120.42,7.25,Đông - Nam,Tây - Bắc,3,2
Hoàng Thành Pearl,55,,Nguyễn Văn Giáp,Cầu Diễn,Nam Từ Liêm,107.94,5.216,Đông - Bắc,Tây - Nam,3,2
T&T Riverview,440,,Vĩnh Hưng,Vĩnh Hưng,Hoàng Mai,98.9,3.2,,Đông - Bắc,2,2
Hateco Laroma,,,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,80.7,7.207,Tây,Đông,2,2
Moonlight I - An Lạc Green Symphony,,,,An Khánh,Hoài Đức,66,2.59,,,2,2
Ngõ 66,,,Kim Giang,Đại Kim,Hoàng Mai,80,2.6,,,2,2
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,102,4.5,Tây - Bắc,Đông - Nam,3,2
Chung cư Ban cơ yếu Chính phủ,43,,Lê Văn Lương,Nhân Chính,Thanh Xuân,125,6.5,,,3,2
Văn Khê,,,,La Khê,Hà Đông,109,2.25,Đông - Bắc,Tây - Nam,3,2
Hateco Laroma,,,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,94,6.7,,,3,2
Indochina Plaza,,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,93,4.9,Đông - Nam,Tây - Bắc,2,2
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,105.7,4.9,Tây - Nam,Đông - Bắc,4,3
Eurowindow River Park,,,5,Đông Hội,Đông Anh,77,2.1,Tây - Bắc,Đông - Nam,3,2
MHD Trung Văn,,,Tố Hữu,Trung Văn,Nam Từ Liêm,106,3.98,,,3,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,70,1.98,,,2,2
Goldmark City,136,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,130,5.4,,,3,2
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,70,3.2,Đông - Bắc,Tây - Nam,2,2
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,60.3,2.9,Đông - Nam,Đông - Nam,2,2
Feliz Homes,,,,Hoàng Văn Thụ,Hoàng Mai,70,2.6,Tây - Bắc,Đông - Nam,2,2
Gemek Tower,,,Lê Trọng Tấn,An Khánh,Hoài Đức,79,1.85,Đông - Nam,Tây - Bắc,2,2
The Golden Palm Lê Văn Lương,,,Lê Văn Lương,Nhân Chính,Thanh Xuân,121,6.092,,,3,2
Le Grand Jardin Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,58,2.1,,,2,
,,,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,50,0.86,,,2,1
Tháp doanh nhân Tower,,,Thanh Bình,Mỗ Lao,Hà Đông,95,1.8,,,3,
Mandarin Garden,,,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,266,18,,,4,
Seasons Avenue,,,,Mỗ Lao,Hà Đông,76,3.1,Tây - Nam,Đông - Bắc,2,2
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,69,3.6,Đông - Bắc,Tây - Nam,2,2
Eco Green City,286,,Nguyễn Xiển,Tân Triều,Thanh Trì,75,2.45,,,2,2
Anland Complex,,,Tố Hữu,La Khê,Hà Đông,54,2.28,,,2,2
The Garden Hills - 99 Trần Bình,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,68,2.5,,,2,2
Vinhomes Smart City ,,,,Tây Mỗ,Nam Từ Liêm,60,2.26,,,2,1
Thăng Long Capital,,,32,An Khánh,Hoài Đức,69,2.48,,Đông - Nam,2,2
Vinhomes Metropolis - Liễu Giai,,,Liễu Giai,Ngọc Khánh,Ba Đình,148,17,,,4,3
,,,Chùa Láng,Láng Thượng,Đống Đa,52,0.99,,,2,1
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,43,2.1,,,1,1
,,,Trích Sài,Thụy Khuê,Tây Hồ,35,0.8,,,1,
HC Golden City,,,Hồng Tiến,Bồ Đề,Long Biên,87,4.4,,Đông - Bắc,3,2
The Emerald,,,,Mỹ Đình 1,Nam Từ Liêm,81,3.65,,Đông - Nam,2,
Imperia Garden,,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,70,3.4,Đông - Nam,,2,2
Ecolife Capitol,58,,Tố Hữu,Trung Văn,Nam Từ Liêm,111,4.25,Tây - Bắc,Đông - Nam,3,2
The Pride,,,Tố Hữu,La Khê,Hà Đông,75,2.05,Đông - Nam,Tây - Bắc,2,2
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,121,4.5,,,3,
Masteri West Heights,,,,Tây Mỗ,Nam Từ Liêm,30,1.8,Tây - Bắc,Tây - Bắc,1,1
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,130,5.5,,,3,
Park View City,,,Vũ Phạm Hàm,Yên Hòa,Cầu Giấy,76,4,,,,
The Pride,,,Tố Hữu,La Khê,Hà Đông,2000,25,,,,
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,55,1.62,Tây - Nam,Đông - Bắc,2,1
Trung tâm Tài chính Sông Đà,,,Nguyễn Trãi,Thanh Xuân Nam,Thanh Xuân,100,4.25,Tây - Bắc,Đông - Nam,,
,,,Hồng Mai,Thanh Nhàn,Hai Bà Trưng,36,0.8,,,1,1
Golden Land - 275 đường Nguyễn Trãi,,,,Thanh Xuân Trung,Thanh Xuân,111,4.3,Tây - Bắc,Đông - Nam,3,2
Eco Green City,286,,Nguyễn Xiển,Tân Triều,Thanh Trì,68,2.5,Đông - Nam,Đông - Nam,3,2
Hồ Gươm Plaza,102 - 104,,Trần Phú,Mỗ Lao,Hà Đông,121,3.46,,,3,2
Vinhomes Green Bay Mễ Trì,,,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,70,3.6,,,2,2
Ngõ 169,,,Kim Mã,Kim Mã,Ba Đình,50,0.98,,,1,1
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,28,0.99,Tây - Bắc,Đông - Nam,,1
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,59,1.65,Đông - Nam,Tây - Bắc,2,1
Hòa Bình Green City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,70,2.5,,,2,2
Lancaster Hà Nội,20,,Núi Trúc,Giảng Võ,Ba Đình,125,8.3,Tây - Bắc,Đông - Nam,3,3
Sky Park Residence,,,Tôn Thất Thuyết,Dịch Vọng Hậu,Cầu Giấy,127.5,8,,,3,2
Ecolife Capitol,58,,Tố Hữu,Trung Văn,Nam Từ Liêm,74.3,3.13,Tây - Nam,Đông - Bắc,2,2
The Pride,,,Tố Hữu,La Khê,Hà Đông,73,1.97,,,2,2
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,133,4.1,Tây - Nam,Đông - Bắc,3,3
Goldmark City,136,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,110,4.15,Đông - Nam,Tây - Bắc,3,
Vinhomes Smart City ,,,,Tây Mỗ,Nam Từ Liêm,64,2.45,Tây - Nam,Đông - Nam,2,
K35 Tân Mai,,,Tân Mai,Tương Mai,Hoàng Mai,96,4.65,,,3,
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,141.92,4.54,,,,
KĐT Cổ Nhuế,,,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,81.5,3.402,Đông,Tây - Bắc,2,2
Hồ Gươm Plaza,102,,Trần Phú,Mỗ Lao,Hà Đông,71.6,2.5,,,2,2
Mipec Rubik 360,,,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,83.5,4.2,,,2,2
25 Tân Mai,,,Tân Mai,Tân Mai,Hoàng Mai,85,3.45,,,2,1
N3 Đường Nguyễn Công Trứ,,,,Phố Huế,Hai Bà Trưng,48,3.3,Tây - Bắc,Đông - Nam,2,1
Sudico Mỹ Đình,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,132,3.7,Đông - Bắc,Tây - Nam,2,2
789 Bộ Tổng Tham Mưu - BQP,,,Nhân Mỹ,Mỹ Đình 1,Nam Từ Liêm,98,3,,,,
Vinhomes Nguyễn Chí Thanh,,,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,109,7.1,,,3,
Sun Grand City,69,,Thụy Khuê,Thụy Khuê,Tây Hồ,132,16.7,Nam,Đông - Nam,3,2
The Pavilion - Vinhomes Ocean Park,,,Lý Thánh Tông,,Gia Lâm,106,4.032,,,3,
Vinhomes Metropolis - Liễu Giai,,,Kim Mã,Ngọc Khánh,Ba Đình,148,19.5,,Nam,2,3
Hanhomes Blue Star,,,Võ Trung Thành,Trâu Quỳ,Gia Lâm,54.1,1.6,,,2,1
Sails Tower,,,Cầu Bươu,Kiến Hưng,Hà Đông,90,2,,,,
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,135,4.5,Tây - Bắc,Đông - Nam,3,2
Florence Mỹ Đình,,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,98,4.4,,,3,
The Miami,,,,Tây Mỗ,Nam Từ Liêm,36.9,1.55,,,,
The Miami,,,,Tây Mỗ,Nam Từ Liêm,42.7,1.85,Bắc,Nam,1,1
Trung Yên Plaza,,,Trung Hòa,Trung Hòa,Cầu Giấy,94,4.7,Tây - Nam,Đông,2,2
Bình Minh Garden,,,Đức Giang,Đức Giang,Long Biên,70,1.9,,,2,2
The Pride,,,Tố Hữu,La Khê,Hà Đông,88,2.3,Tây - Bắc,Đông - Nam,2,2
Làng Quốc tế Thăng Long,72,,Trần Đăng Ninh,Dịch Vọng,Cầu Giấy,169.9,7.25,,,,
Green Diamond 93 Láng Hạ,,,Láng Hạ,Láng Hạ,Đống Đa,110,8.5,Tây - Bắc,Đông - Nam,3,2
Ciputra Hà Nội,,,Nguyễn Hoàng Tôn,Phú Thượng,Tây Hồ,145,6.9,Tây - Nam,Đông - Bắc,3,3
A10-A14 Nam Trung Yên,,,Nguyễn Chánh,Yên Hòa,Cầu Giấy,100,4.5,,,3,2
Khai Sơn City,,,,Ngọc Thụy,Long Biên,96,3.9,Tây - Bắc,Đông - Nam,3,2
Le Grand Jardin Sài Đồng,,,Huỳnh Văn Nghệ,Sài Đồng,Long Biên,97,3.6,Đông - Bắc,Đông - Nam,3,2
The Nine,9,,Phạm Văn Đồng,Mai Dịch,Cầu Giấy,106.6,6.68,Bắc,Nam,3,2
Thanh Hà Mường Thanh,,,,Kiến Hưng,Hà Đông,77,1.435,,,2,
Hapulico Complex,,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,109,4.2,Tây - Bắc,Đông - Nam,2,2
Sky Park Residence,,,Tôn Thất Thuyết,Dịch Vọng Hậu,Cầu Giấy,86,5,,,,
HC Golden City,,,Hồng Tiến,Bồ Đề,Long Biên,87,4.3,Bắc,Nam,3,2
Sunshine Garden,,,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,108.7,3.85,Nam,Bắc,3,2
BRG Diamond Residence,25,,Lê Văn Lương,Nhân Chính,Thanh Xuân,103,6.18,,,3,2
Vinhomes Skylake,,,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,270,22,,,4,3
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,105,5.6,Tây - Bắc,Đông - Nam,3,2
Vinhomes Gardenia,,,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,78,3.4,Tây - Bắc,Đông - Nam,2,2
Kim Văn Kim Lũ,,,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,65,1.69,Nam,Đông - Nam,,
Vinhomes Symphony Riverside,,,Hội Xá,Việt Hưng,Long Biên,60,3,,,,
Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,78.3,3.21,Tây - Nam,Tây - Nam,3,2
Vinhomes Nguyễn Chí Thanh,,,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,118,8.1,Đông,Đông - Bắc,3,2
KĐT Định Công,,,,Định Công,Hoàng Mai,80,2.75,Tây - Nam,Đông - Bắc,3,2
Berriver Long Biên,,,Nguyễn Văn Cừ,Bồ Đề,Long Biên,80,3.2,,,2,2
Tecco Garden,,,Tứ Hiệp,Tứ Hiệp,Thanh Trì,127.6,3.1,,,4,3
The Tonkin - Vinhomes Smart City,,,,,Nam Từ Liêm,78,3.5,,,3,2
Vinhomes Smart City ,,,,Tây Mỗ,Nam Từ Liêm,32,1.185,Tây - Bắc,Đông - Nam,1,1
The Tonkin - Vinhomes Smart City,,,,,Nam Từ Liêm,90,4.1,,Đông - Bắc,3,2
The Tonkin - Vinhomes Smart City,,,,,Nam Từ Liêm,78,3.5,,Đông - Bắc,3,2
Imperia Garden,,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,73,3.5,Tây - Bắc,Đông - Nam,2,2
Viễn Đông Star,,,Giáp Nhị,Thịnh Liệt,Hoàng Mai,90,3,,,,
Hapulico Complex,,,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,122,4.8,Tây - Bắc,Đông - Nam,2,2
Florence Mỹ Đình,28,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,77.5,2.9,Tây - Bắc,Đông - Nam,2,
Sky Park Residence,,,Tôn Thất Thuyết,Dịch Vọng Hậu,Cầu Giấy,71,4,,,,
Imperia Sky Garden,202,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,75,3.5,,,2,
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,68.2,3.3,Tây - Nam,Đông - Bắc,2,2
Roman Plaza,,,Tố Hữu,Đại Mỗ,Nam Từ Liêm,77.8,2.99,Tây - Bắc,Đông - Nam,2,2
The Golden Palm Lê Văn Lương,21,,Lê Văn Lương,Nhân Chính,Thanh Xuân,66,3,,,,
The Tonkin - Vinhomes Smart City,,,,,Nam Từ Liêm,79,3.6,,Tây - Nam,3,2
Green Park Trần Thủ Độ,,,Trần Thủ Độ,Hoàng Liệt,Hoàng Mai,70,1.96,Đông - Nam,Tây - Bắc,2,2
Tecco Garden,,,Quang Lai,Tứ Hiệp,Thanh Trì,134.5,3.045,Đông - Bắc,Tây - Nam,4,3
Green Park Trần Thủ Độ,,,,,Hoàng Mai,134,3.35,Đông - Bắc,Tây - Nam,3,3
Trung Hòa Nhân Chính,,,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,117,4.2,,,3,2
GoldSeason,47,,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,90,4.5,Tây - Bắc,Đông - Nam,3,2
Dolphin Plaza,,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,186,6,Đông - Bắc,Tây - Bắc,4,3
The Tonkin - Vinhomes Smart City,,,,,Nam Từ Liêm,78,3.6,,Tây - Nam,3,2
Vinhomes Ocean Park Gia Lâm,,,,,Gia Lâm,32,0.89,,,,
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,90,4,,,,
The Tonkin - Vinhomes Smart City,,,,,Nam Từ Liêm,78,3.6,,Đông - Bắc,3,2
Vinhomes Ocean Park Gia Lâm,,,,,Gia Lâm,75,2.45,Đông - Nam,Đông - Nam,3,2
Park Kiara,,,Lê Trọng Tấn,La Khê,Hà Đông,60.5,3,,Tây - Nam,2,1
Park Kiara,,,Lê Trọng Tấn,La Khê,Hà Đông,107,6.5,,,3,2
The Terra An Hưng,,,,,Hà Đông,97,3.55,,,3,2
Sky Central,,,,,Hoàng Mai,66,2.85,,,2,2
Times City - Park Hill,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,82,4.55,Nam,,2,2
Times City,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,109,5.15,Đông,Đông,3,2
Green Diamond 93 Láng Hạ,,,Láng Hạ,Láng Hạ,Đống Đa,137,11,,Đông - Nam,3,
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,80,2.35,,,3,2
Diamond Park Plaza ,16,,Láng Hạ,Thành Công,Ba Đình,124.9,11,,Tây - Nam,3,
Sky Central,,,Định Công,Định Công,Hoàng Mai,50,2.2,,,2,
The Zenpark,,,Đông Dư,Dương Xá,Gia Lâm,46.2,1.686,Đông - Bắc,Tây - Nam,1,1
The Miami,,,,Tây Mỗ,Nam Từ Liêm,90,4,,,,
Goldmark City,,,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,160,5.5,,,4,2
KĐTM Dương Nội,,,Tố Hữu,Vạn Phúc,Hà Đông,117,2.75,Đông,Tây,2,2
The Sparks,,,Tố Hữu,Dương Nội,Hà Đông,56.5,1.55,Đông - Nam,Tây - Bắc,2,1
Sky Central,,,Định Công,Định Công,Hoàng Mai,100,4.5,Bắc,Đông,3,2
,,,Đông Các,Hàng Bột,Đống Đa,60,2.62,,,,
93 Lò Đúc - Kinh Đô Tower,93,,Lò Đúc,Phạm Đình Hổ,Hai Bà Trưng,96,4.2,,,2,2
,,,Nguyễn Chí Thanh,Giảng Võ,Ba Đình,76,3.2,,,2,1
Kim Văn Kim Lũ,,,,,Hoàng Mai,67,2.675,Tây - Nam,Đông - Bắc,2,2
Iris Garden,,,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,185,7.5,Đông,Tây - Bắc,4,4
The Zei Mỹ Đình,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,186,12.09,,Đông - Bắc,,
La Casta Văn Phú,,,Lê Trọng Tấn,Phú La,Hà Đông,88,3.8,Tây - Nam,Đông - Bắc,2,2
Chung cư Xuân La,,,Xuân La,Xuân La,Tây Hồ,220,6.6,,,3,3
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,64,3.1,Đông - Nam,Tây - Bắc,2,2
Golden Westlake,,,Thụy Khuê,Thụy Khuê,Tây Hồ,113,7,,,2,2
Imperia Smart City,,,Đại lộ Thăng Long,Tây Mỗ,Nam Từ Liêm,75,3.5,Tây - Nam,Đông - Bắc,3,2
Vinhomes Ocean Park Gia Lâm,,,,,Gia Lâm,47,1.2,,,1,1
Kim Văn Kim Lũ,,,,,Hoàng Mai,77,2.8,Tây - Nam,Đông - Bắc,2,2
Phương Đông Green Home,,,,Đức Giang,Long Biên,76.7,2.117,Tây - Bắc,Đông - Bắc,3,2
Gelexia Riverside,885,,Tam Trinh,Yên Sở,Hoàng Mai,70,2.65,,,2,
Masteri West Heights,,,,,Nam Từ Liêm,89,5.324,Tây - Nam,Đông - Bắc,3,2
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,80,3,,,,
The Sakura - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,81,3.2,,,3,2
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,71,3.15,,,2,2
Chung cư Đại Thanh,,,,,Thanh Trì,66,1.45,Tây - Bắc,Đông - Nam,2,2
Vinhomes Smart City ,,,,,Nam Từ Liêm,71.2,3,Đông - Bắc,Tây - Nam,2,2
The Zei Mỹ Đình,,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,94,4.23,,,3,2
Vinhomes Metropolis - Liễu Giai,29,,Liễu Giai,Ngọc Khánh,Ba Đình,82,7.25,,,2,2
Vinhomes Metropolis - Liễu Giai,29,,Liễu Giai,Ngọc Khánh,Ba Đình,110,10.75,,Tây - Nam,3,2
FLC Complex Phạm Hùng,36,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,94,4,,,,
Vinhomes Metropolis - Liễu Giai,29,,Liễu Giai,Ngọc Khánh,Ba Đình,148,16.8,Tây - Bắc,Đông - Nam,4,
FLC Complex Phạm Hùng,,,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,94,4,,,,
Eco Dream,,,Nguyễn Xiển,,Tân Triều,72,2.45,,,2,2
Mỹ Đình I,,,Lưu Hữu Phước,Mỹ Đình 1,Nam Từ Liêm,97,2.53,,,2,2
The Zei Mỹ Đình,8,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,84,5.46,,,2,2
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,71,3,,,,
The Zei Mỹ Đình,8,,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,84,5.46,,,2,2
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,62,2.9,,,2,2
Iris Garden,30,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,61,2.65,,,2,2
Iris Garden,,,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,135,4.75,,,3,2
Golden Palace,,,Mễ Trì,Mễ Trì,Nam Từ Liêm,85.6,3.3,,,2,
The Garden Hills - 99 Trần Bình,99,,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,89,3.3,Tây - Nam,Đông - Bắc,3,2
Vinhomes Ocean Park Gia Lâm,,,,,Gia Lâm,46.5,1.72,Tây - Bắc,Đông - Nam,1,1
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,78,3.5,,,3,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,60,1.52,,,2,1
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,61,3.2,,,2,2
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,61,2.9,,,2,2
The Tonkin - Vinhomes Smart City,,,,Tây Mỗ,Nam Từ Liêm,90,3.9,,,3,2
,,,Nguyễn Chí Thanh,Láng Thượng,Đống Đa,56,0.635,,,2,2
Vinhomes Smart City ,,,,Tây Mỗ,Nam Từ Liêm,64,2,,,,
,,,Đội Cấn,Ngọc Hà,Ba Đình,55,0.65,,,2,2
,,,Giải Phóng,Tương Mai,Hoàng Mai,58,0.655,,,2,2
,,,Thái Hà,Thịnh Quang,Đống Đa,50,0.635,,,2,2
,,,Lò Đúc,Đống Mác,Hai Bà Trưng,56,0.626,,,2,2
,,,Khương Trung,Khương Trung,Thanh Xuân,48,0.635,,,2,2
,,,Chùa Láng,Láng Thượng,Đống Đa,55,0.8,,,2,2
,,,Trích Sài,Bưởi,Tây Hồ,52,0.8,,,2,2
Vinhomes Ocean Park Gia Lâm,,,,,Gia Lâm,70,1.8,,,2,2
,,,Kim Mã,Kim Mã,Ba Đình,58,0.8,,,2,2
,,,Phạm Ngọc Thạch,Kim Liên,Đống Đa,60,0.82,,,2,2
,,,Trương Định,Hoàng Văn Thụ,Hoàng Mai,60,0.8,,,2,2
Vinhomes Ocean Park Gia Lâm,,,,Dương Xá,Gia Lâm,80,2.39,,,3,2
,,,Lò Đúc,Đống Mác,Hai Bà Trưng,57,0.8,,,2,2
Đồng Phát Park View Tower,,,Tân Mai,Vĩnh Hưng,Hoàng Mai,81,2.5,,,2,2
Ecolife Capitol,,,Tố Hữu,Trung Văn,Nam Từ Liêm,70,2.2,,,2,
,,,Xã Đàn,Ô Chợ Dừa,Đống Đa,58,0.805,,,2,2
Vinhomes Metropolis - Liễu Giai,29,,Liễu Giai,Ngọc Khánh,Ba Đình,115,10,Tây - Bắc,Đông - Nam,3,2
Imperia Sky Garden,,,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,87,4.4,Đông - Bắc,Tây - Nam,3,2
